s	external_id	project	continental_pop	subpop	gvcf	cram	crai	realign_cram	realign_crai	batch	operation	flowcell_lane	library_id	platform	centre	r_contamination	r_chimera	r_duplication	median_insert_size	fam_id	mat_id	sex	original_gvcf	pat_id
HG00450	HG00450	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00450.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH016	HG00449	2	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00450/analysis/HG00450.haplotypeCalls.er.raw.vcf.gz	HG00448
HG00453	HG00453	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00453.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH017	HG00452	2	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00453/analysis/HG00453.haplotypeCalls.er.raw.vcf.gz	HG00451
HG00459	HG00459	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00459.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH019	HG00458	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00459/analysis/HG00459.haplotypeCalls.er.raw.vcf.gz	HG00457
HG00465	HG00465	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00465.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH021	HG00464	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00465/analysis/HG00465.haplotypeCalls.er.raw.vcf.gz	HG00463
HG00474	HG00474	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00474.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH024	HG00473	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00474/analysis/HG00474.haplotypeCalls.er.raw.vcf.gz	HG00472
HG00477	HG00477	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00477.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH025	HG00476	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00477/analysis/HG00477.haplotypeCalls.er.raw.vcf.gz	HG00475
HG00480	HG00480	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00480.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH026	HG00479	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00480/analysis/HG00480.haplotypeCalls.er.raw.vcf.gz	HG00478
HG00501	HG00501	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00501.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH028	0	2	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00501/analysis/HG00501.haplotypeCalls.er.raw.vcf.gz	0
HG00502	HG00502	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00502.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH028	HG00501	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00502/analysis/HG00502.haplotypeCalls.er.raw.vcf.gz	HG00500
HG00512	HG00512	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00512.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH032	0	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00512/analysis/HG00512.haplotypeCalls.er.raw.vcf.gz	0
HG00514	HG00514	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00514.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH032	HG00513	2	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00514/analysis/HG00514.haplotypeCalls.er.raw.vcf.gz	HG00512
HG00526	HG00526	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00526.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH036	HG00525	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00526/analysis/HG00526.haplotypeCalls.er.raw.vcf.gz	HG00524
HG00532	HG00532	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00532.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH038	HG00531	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00532/analysis/HG00532.haplotypeCalls.er.raw.vcf.gz	HG00530
HG00535	HG00535	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00535.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH039	HG00534	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00535/analysis/HG00535.haplotypeCalls.er.raw.vcf.gz	HG00533
HG00538	HG00538	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00538.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH040	HG00537	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00538/analysis/HG00538.haplotypeCalls.er.raw.vcf.gz	HG00536
HG00544	HG00544	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00544.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH042	HG00543	2	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00544/analysis/HG00544.haplotypeCalls.er.raw.vcf.gz	HG00542
HG00552	HG00552	thousand-genomes	pur	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00552.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	PR01	HG00551	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00552/analysis/HG00552.haplotypeCalls.er.raw.vcf.gz	HG01075
HG00555	HG00555	thousand-genomes	pur	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00555.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	PR02	HG00554	2	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00555/analysis/HG00555.haplotypeCalls.er.raw.vcf.gz	HG00553
HG00558	HG00558	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00558.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH045	HG00557	2	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00558/analysis/HG00558.haplotypeCalls.er.raw.vcf.gz	HG00556
HG00561	HG00561	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00561.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH046	HG00560	2	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00561/analysis/HG00561.haplotypeCalls.er.raw.vcf.gz	HG00559
HG00567	HG00567	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00567.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH048	HG00566	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00567/analysis/HG00567.haplotypeCalls.er.raw.vcf.gz	HG00565
HG00577	HG00577	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00577.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH052	0	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00577/analysis/HG00577.haplotypeCalls.er.raw.vcf.gz	0
HG00578	HG00578	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00578.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH052	0	2	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00578/analysis/HG00578.haplotypeCalls.er.raw.vcf.gz	0
HG00579	HG00579	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00579.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH052	HG00578	2	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00579/analysis/HG00579.haplotypeCalls.er.raw.vcf.gz	HG00577
HG00582	HG00582	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00582.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH053	HG00581	2	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00582/analysis/HG00582.haplotypeCalls.er.raw.vcf.gz	HG00580
HG00585	HG00585	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00585.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH054	HG00584	2	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00585/analysis/HG00585.haplotypeCalls.er.raw.vcf.gz	HG00583
HG00591	HG00591	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00591.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH056	HG00590	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00591/analysis/HG00591.haplotypeCalls.er.raw.vcf.gz	HG00589
HG00594	HG00594	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00594.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH057	HG00593	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00594/analysis/HG00594.haplotypeCalls.er.raw.vcf.gz	HG00592
HG00597	HG00597	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00597.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH058	HG00596	2	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00597/analysis/HG00597.haplotypeCalls.er.raw.vcf.gz	HG00595
HG00609	HG00609	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00609.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH062	HG00608	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00609/analysis/HG00609.haplotypeCalls.er.raw.vcf.gz	HG00607
HG00612	HG00612	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00612.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH063	HG00611	2	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00612/analysis/HG00612.haplotypeCalls.er.raw.vcf.gz	HG00610
HG00615	HG00615	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00615.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH064	HG00614	2	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00615/analysis/HG00615.haplotypeCalls.er.raw.vcf.gz	HG00613
HG00621	HG00621	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00621.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH066	HG00620	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00621/analysis/HG00621.haplotypeCalls.er.raw.vcf.gz	HG00619
HG00627	HG00627	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00627.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH068	HG00626	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00627/analysis/HG00627.haplotypeCalls.er.raw.vcf.gz	HG00625
HG00630	HG00630	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00630.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH069	HG00629	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00630/analysis/HG00630.haplotypeCalls.er.raw.vcf.gz	HG00628
HG00635	HG00635	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00635.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH071	0	2	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00635/analysis/HG00635.haplotypeCalls.er.raw.vcf.gz	0
HG00636	HG00636	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00636.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH071	HG00635	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00636/analysis/HG00636.haplotypeCalls.er.raw.vcf.gz	HG00634
HG00639	HG00639	thousand-genomes	pur	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00639.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	PR03	HG00638	2	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00639/analysis/HG00639.haplotypeCalls.er.raw.vcf.gz	HG00637
HG00642	HG00642	thousand-genomes	pur	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00642.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	PR04	HG00641	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00642/analysis/HG00642.haplotypeCalls.er.raw.vcf.gz	HG00640
HG00652	HG00652	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00652.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH072	HG00651	2	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00652/analysis/HG00652.haplotypeCalls.er.raw.vcf.gz	HG00650
HG00655	HG00655	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00655.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH073	HG00654	2	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00655/analysis/HG00655.haplotypeCalls.er.raw.vcf.gz	HG00653
HG00658	HG00658	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00658.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH074	HG00657	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00658/analysis/HG00658.haplotypeCalls.er.raw.vcf.gz	HG00656
HG00664	HG00664	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00664.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH076	HG00663	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00664/analysis/HG00664.haplotypeCalls.er.raw.vcf.gz	HG00662
